source_id,source_type,category,priority,technical_details,suggested_title
R001,review,Bug,Critical,"Platform: Google Play; Version: 3.0.1; Issue: App crashes on calendar view after update","[BUG] App Crashes on Calendar View - Post 3.0.1 Update"
R002,review,Bug,High,"Platform: App Store; Device: iPhone 14; OS: iOS 17.4; Version: 3.0.1; Issue: Login spinner loops indefinitely","[BUG] Login Infinite Spinner on iPhone 14 - iOS 17.4"
R003,review,Bug,High,"Platform: Google Play; Version: 2.9.5; Issue: Tasks not syncing between Android and desktop","[BUG] Data Sync Failure Between Android and Desktop"
R004,review,Bug,High,"Platform: App Store; Device: Samsung Galaxy S23; OS: Android 14; Version: 3.0.1; Issue: App freezes when adding task offline","[BUG] App Freeze When Adding Task in Offline Mode"
R005,review,Bug,High,"Platform: Google Play; Device: Galaxy Note 20; OS: Android 13; Version: 3.0.0; Steps: enable all notifications in settings; Issue: No notifications appearing","[BUG] Push Notifications Not Showing - Android - v3.0.0"
R006,review,Feature Request,Medium,"Feature: Dark mode toggle for low-light usage","[FEATURE] Add Dark Mode Option"
R007,review,Feature Request,Medium,"Feature: Built-in Pomodoro timer integration","[FEATURE] Integrate Pomodoro Timer"
R008,review,Feature Request,Medium,"Feature: Export tasks to PDF or Excel format","[FEATURE] Export Tasks to PDF/Excel"
R009,review,Feature Request,Medium,"Feature: Two-way Google Calendar sync","[FEATURE] Google Calendar Integration & Sync"
R010,review,Feature Request,Medium,"Feature: Recurring tasks with customizable schedules","[FEATURE] Recurring Tasks Automation"
R011,review,Praise,Low,"","[PRAISE] Positive Review - Clean Interface and Reliability"
R012,review,Praise,Low,"","[PRAISE] Positive Review - Collaboration Features in v3.0"
R013,review,Praise,Low,"","[PRAISE] Positive Review - Daily Planning and Widget"
R014,review,Praise,Low,"","[PRAISE] Positive Review - Productivity Improvement"
R015,review,Complaint,Low,"Issue: Subscription pricing perceived as too expensive vs competitors","[COMPLAINT] Subscription Price Too High"
R016,review,Complaint,Low,"Platform: Google Play; Device: Pixel 7; Version: 3.0.0; Issue: Slow loading with 100+ tasks (5-6 seconds)","[COMPLAINT] Performance Degradation with Large Task Lists"
R017,review,Complaint,High,"Issue: No response from customer support after multiple emails about sync bug","[COMPLAINT] Unresponsive Customer Support"
R018,review,Spam,Low,"","[SPAM] Cryptocurrency Promotion - Not App Related"
R019,review,Spam,Low,"","[SPAM] Random Characters - Not App Related"
R020,review,Spam,Low,"","[SPAM] Weight Loss Product Promotion - Not App Related"
E001,email,Bug,Critical,"Device: iPhone 13 Pro; OS: iOS 17.3.1; Version: 3.0.1; Steps: Open app > tap Calendar > crash; Workarounds tried: reinstall / restart / clear cache","[BUG] App Crashes Immediately on Calendar View - iOS"
E002,email,Bug,High,"Device: Samsung Galaxy S22; OS: Android 14; Version: 3.0.1; Issue: Login spinner loops after credential entry; password reset didn't help","[BUG] Login Infinite Loading After 3.0.1 Update - Android"
E003,email,Bug,Critical,"Device: Google Pixel 7; OS: Android 13; Version: 3.0.0; Issue: All tasks (87 items / 5 projects) disappeared after update","[BUG] Data Loss - All Tasks Deleted After v3.0.0 Update"
E004,email,Bug,High,"Device: OnePlus 11; OS: Android 13; Version: 3.0.0; Steps: Set reminder > wait > no notification; Permissions and battery optimization checked","[BUG] Push Notifications Not Working - Android - v3.0.0"
E005,email,Feature Request,Medium,"Feature: Dark mode for low-light and night usage","[FEATURE] Add Dark Mode Option"
E006,email,Feature Request,Medium,"Feature: Two-way Google Calendar sync with task-to-event blocking and unified reminders","[FEATURE] Google Calendar Two-Way Sync"
E007,email,Feature Request,Medium,"Feature: Export tasks and projects to PDF or Excel for team sharing; 15-person team use case","[FEATURE] Task Export to PDF/Excel for Team Reporting"
E008,email,Complaint,Low,"Issue: $9.99/month pricing too high compared to free alternatives; user considering cancellation","[COMPLAINT] Subscription Too Expensive - Pricing Feedback"
E009,email,Complaint,High,"Issue: No response to support ticket for 10 days; threatening chargeback and negative reviews","[COMPLAINT] No Support Response for 10 Days - Escalation"
E010,email,Spam,Low,"","[SPAM] iPhone Prize Scam Email - Not Customer Feedback"
